group,agestrat,lo1,lo2,hi1,hi2, Median , Lo SD , Hi SD , ES ,,,,,
1,a0300,5,10,90,95,13.35714286,7.350230094,9.523689172,,,,,,
2,a0330,5,10,90,95,17.5,9.512256759,11.96436557,0.43210416,,,,,
3,a0360,5,10,90,95,19.66666667,7.912418584,12.1993279,0.208391599,,,,,
4,a0390,5,10,90,95,22.1,9.034219349,9.399285568,0.252517054,,,,,
5,a0400,5,10,90,95,25.91666667,10.96649015,10.21250571,0.385400224,,,,,
6,a0430,5,10,90,95,28.77777778,13.0701642,6.905749323,0.27808212,,,,,
7,a0460,5,10,90,95,30.78571429,11.92255853,7.295465375,0.204923173,,,,,
8,a0490,5,10,90,95,30.125,10.20716145,7.753054399,-0.071086129,,,,,
9,a0500,5,10,90,95,31.16666667,7.806029138,5.91319069,0.131525912,,,,,
10,a0530,5,10,90,95,33.25,9.800789747,5.610296455,0.286070916,,,,,
11,a0560,5,10,90,95,33.75,9.163406533,6.078222883,0.065247074,,,,,
12,a0590,5,10,90,95,37,9.068860669,6.355865753,0.42391734,,,,,
13,a0600,5,10,90,95,38.625,4.825896646,7.165098305,0.237090241,,,,,
14,a0630,5,10,90,95,38.66666667,7.31764238,5.698058972,0.006664881,,,,,
15,a0660,5,10,85,95,41.5,9.396169024,7.077967491,0.384313179,,,,,
16,a0690,5,10,90,95,41,7.158874109,6.138857942,-0.06717751,,,,,
17,a0700,5,10,85,95,43.375,7.677061937,5.977194175,0.352478635,,,,,
18,a0730,5,10,90,95,43.35714286,5.773582665,4.764175049,-0.002952568,,,,,
19,a0760,5,10,90,95,42.875,5.641289354,6.88526152,-0.083617136,,,,,
20,a0790,5,10,90,95,42.875,7.16988341,6.500402632,0,,,,,
21,a0800,5,10,90,95,47.5,6.341675614,4.32269029,0.760232776,,,,,
22,a0860,5,10,90,95,49.58333333,7.4877775,4.394490596,0.36960432,,,,,
23,a0900,5,10,90,95,50.8,6.23570801,5.410919417,0.206837871,,,,,
24,a0960,5,10,85,95,52.07142857,7.317116009,2.568411752,0.236191605,,,,,
25,a1000,5,10,90,95,52.75,4.907572532,5.66450868,0.132678541,,,,,
26,a1060,5,10,90,95,53,7.145710621,3.834078686,0.046399685,,,,,
27,a1100,5,15,90,95,51.72727273,3.342498465,4.961884696,-0.263994169,,,,,
28,a1160,5,10,90,95,54.66666667,3.647491103,5.897674376,0.658704374,,,,,
29,a1200,5,10,90,95,56,6.367232603,4.902628516,0.256225151,,,,,
30,a1260,5,10,90,95,54.6,4.798909716,6.438439958,-0.248809151,,,,,
31,a1300,5,10,90,95,56.125,5.070869161,5.461006489,0.280212084,,,,,
32,a1400,10,15,90,95,56.91666667,5.341588846,5.217011748,0.15014676,,,,,
33,a1500,5,10,90,95,59,5.341985431,3.631296455,0.42665285,,,,,
34,a1618,5,10,90,95,60.76470588,5.7507086,3.274220805,0.392195836,,,,,
35,a1921,5,10,90,95,61.08333333,11.11759016,4.305884565,0.052130593,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
